,sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,timeCode_x,Date,DATE,STRESS_SCORE,timeCode_y,SLEEP_POINTS,RESPONSIVENESS_POINTS,EXERTION_POINTS,date,readiness_score_value,weekday
0,44601507004,2024-02-20T07:34:30Z,75,21,19,35,59,66,0.1399317406143344,2024-02-20 07:34:30+00:00,2024-02-20,2024-02-20T00:00:00,71.0,2024-02-20,22.0,23.0,26.0,2024-02-20,100.0,Tue
1,44588024307,2024-02-19T08:12:30Z,82,21,20,41,74,66,0.1167883211678832,2024-02-19 08:12:30+00:00,2024-02-19,2024-02-19T00:00:00,78.0,2024-02-19,26.0,24.0,28.0,2024-02-19,100.0,Mon
2,44577740414,2024-02-18T09:17:00Z,71,18,17,36,58,65,0.1634275618374558,2024-02-18 09:17:00+00:00,2024-02-18,2024-02-18T00:00:00,67.0,2024-02-18,21.0,20.0,26.0,2024-02-18,98.0,Sun
3,44565814548,2024-02-17T09:00:00Z,80,20,20,40,61,66,0.1198067632850241,2024-02-17 09:00:00+00:00,2024-02-17,2024-02-17T00:00:00,70.0,2024-02-17,22.0,19.0,29.0,2024-02-17,88.0,Sat
4,44557202596,2024-02-16T08:40:00Z,76,21,18,37,59,66,0.16,2024-02-16 08:40:00+00:00,2024-02-16,2024-02-16T00:00:00,77.0,2024-02-16,25.0,23.0,29.0,2024-02-16,100.0,Fri
5,44542931013,2024-02-15T09:35:30Z,84,22,18,44,111,65,0.1655480984340044,2024-02-15 09:35:30+00:00,2024-02-15,2024-02-15T00:00:00,79.0,2024-02-15,25.0,24.0,30.0,2024-02-15,100.0,Thu
6,44532041834,2024-02-14T07:43:00Z,69,20,17,32,37,66,0.2004504504504504,2024-02-14 07:43:00+00:00,2024-02-14,2024-02-14T00:00:00,72.0,2024-02-14,19.0,22.0,31.0,2024-02-14,87.0,Wed
7,44520096459,2024-02-13T07:22:30Z,80,21,18,41,50,65,0.119754350051177,2024-02-13 07:22:30+00:00,2024-02-13,2024-02-13T00:00:00,76.0,2024-02-13,25.0,20.0,31.0,2024-02-13,62.0,Tue
8,44508851938,2024-02-12T08:34:00Z,88,21,21,46,64,65,0.116822429906542,2024-02-12 08:34:00+00:00,2024-02-12,2024-02-12T00:00:00,84.0,2024-02-12,26.0,23.0,35.0,2024-02-12,15.0,Mon
9,44497785688,2024-02-11T08:13:00Z,83,21,20,42,42,64,0.1071428571428571,2024-02-11 08:13:00+00:00,2024-02-11,2024-02-11T00:00:00,85.0,2024-02-11,25.0,23.0,37.0,2024-02-11,1.0,Sun
10,44487258276,2024-02-10T08:02:30Z,82,19,17,46,84,62,0.0921658986175115,2024-02-10 08:02:30+00:00,2024-02-10,2024-02-10T00:00:00,78.0,2024-02-10,26.0,20.0,32.0,2024-02-10,13.0,Sat
11,44487258275,2024-02-09T08:22:00Z,74,20,17,37,80,62,0.0922722029988466,2024-02-09 08:22:00+00:00,2024-02-09,2024-02-09T00:00:00,75.0,2024-02-09,25.0,20.0,30.0,2024-02-09,38.0,Fri
12,44462108257,2024-02-08T08:14:30Z,85,21,19,45,74,61,0.0868794326241134,2024-02-08 08:14:30+00:00,2024-02-08,2024-02-08T00:00:00,82.0,2024-02-08,28.0,21.0,33.0,2024-02-08,27.0,Thu
13,44450651008,2024-02-07T08:35:30Z,79,20,20,39,73,62,0.1200750469043152,2024-02-07 08:35:30+00:00,2024-02-07,2024-02-07T00:00:00,80.0,2024-02-07,25.0,26.0,29.0,2024-02-07,8.0,Wed
